LECROYHDO6104A	50809	Waveform
Segments	1	SegmentSize	2502
Segment	TrigTime	TimeSinceSegment1
#1	19-Dec-2022 20:04:36	0                 
Time	Ampl
-2.501802e-06	-0.019562
-2.499802e-06	-0.019624
-2.497802e-06	-0.020058
-2.495802e-06	-0.020368
-2.493802e-06	-0.020678
-2.491802e-06	-0.020616
-2.489802e-06	-0.020492
-2.487802e-06	-0.020864
-2.485802e-06	-0.020988
-2.483802e-06	-0.020926
-2.481802e-06	-0.021298
-2.479802e-06	-0.02136
-2.477802e-06	-0.02105
-2.475802e-06	-0.020802
-2.473802e-06	-0.02105
-2.471802e-06	-0.021112
-2.469802e-06	-0.021174
-2.467802e-06	-0.020988
-2.465802e-06	-0.021112
-2.463802e-06	-0.021174
-2.461802e-06	-0.020678
-2.459802e-06	-0.02074
-2.457802e-06	-0.020864
-2.455802e-06	-0.020802
-2.453802e-06	-0.020554
-2.451802e-06	-0.020616
-2.449802e-06	-0.020368
-2.447802e-06	-0.019686
-2.445802e-06	-0.019314
-2.443802e-06	-0.01919
-2.441802e-06	-0.019066
-2.439802e-06	-0.019004
-2.437802e-06	-0.019128
-2.435802e-06	-0.019376
-2.433802e-06	-0.019376
-2.431802e-06	-0.019376
-2.429802e-06	-0.01919
-2.427802e-06	-0.019686
-2.425802e-06	-0.019934
-2.423802e-06	-0.019562
-2.421802e-06	-0.019438
-2.419802e-06	-0.019934
-2.417802e-06	-0.019748
-2.415802e-06	-0.019562
-2.413802e-06	-0.019128
-2.411802e-06	-0.019252
-2.409802e-06	-0.019066
-2.407802e-06	-0.019004
-2.405802e-06	-0.019252
-2.403802e-06	-0.019066
-2.401802e-06	-0.01919
-2.399802e-06	-0.018942
-2.397802e-06	-0.019376
-2.395802e-06	-0.019562
-2.393802e-06	-0.019686
-2.391802e-06	-0.019376
-2.389802e-06	-0.019438
-2.387802e-06	-0.01919
-2.385802e-06	-0.019314
-2.383802e-06	-0.019314
-2.381802e-06	-0.019376
-2.379802e-06	-0.019376
-2.377802e-06	-0.01919
-2.375802e-06	-0.018818
-2.373802e-06	-0.018446
-2.371802e-06	-0.018508
-2.369802e-06	-0.018322
-2.367802e-06	-0.017516
-2.365802e-06	-0.017516
-2.363802e-06	-0.017516
-2.361802e-06	-0.017392
-2.359802e-06	-0.016772
-2.357802e-06	-0.016896
-2.355802e-06	-0.017082
-2.353802e-06	-0.017392
-2.351802e-06	-0.016834
-2.349802e-06	-0.017144
-2.347802e-06	-0.017268
-2.345802e-06	-0.017516
-2.343802e-06	-0.017144
-2.341802e-06	-0.017578
-2.339802e-06	-0.017578
-2.337802e-06	-0.017702
-2.335802e-06	-0.017144
-2.333802e-06	-0.017392
-2.331802e-06	-0.017454
-2.329802e-06	-0.017144
-2.327802e-06	-0.017268
-2.325802e-06	-0.017268
-2.323802e-06	-0.017268
-2.321802e-06	-0.017578
-2.319802e-06	-0.017082
-2.317802e-06	-0.01764
-2.315802e-06	-0.017268
-2.313802e-06	-0.01764
-2.311802e-06	-0.016896
-2.309802e-06	-0.017454
-2.307802e-06	-0.01733
-2.305802e-06	-0.017826
-2.303802e-06	-0.01733
-2.301802e-06	-0.017392
-2.299802e-06	-0.017578
-2.297802e-06	-0.01764
-2.295802e-06	-0.017888
-2.293802e-06	-0.01795
-2.291802e-06	-0.018012
-2.289802e-06	-0.018446
-2.287802e-06	-0.018694
-2.285802e-06	-0.019066
-2.283802e-06	-0.019066
-2.281802e-06	-0.018942
-2.279802e-06	-0.018694
-2.277802e-06	-0.019004
-2.275802e-06	-0.018942
-2.273802e-06	-0.018942
-2.271802e-06	-0.018756
-2.269802e-06	-0.018818
-2.267802e-06	-0.01888
-2.265802e-06	-0.018446
-2.263802e-06	-0.018322
-2.261802e-06	-0.018508
-2.259802e-06	-0.01857
-2.257802e-06	-0.018508
-2.255802e-06	-0.01826
-2.253802e-06	-0.018446
-2.251802e-06	-0.018322
-2.249802e-06	-0.018198
-2.247802e-06	-0.017578
-2.245802e-06	-0.017764
