Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	0.0000	0.0000	infinite	12.996	15.490	-1.0000e+07	12.472	20.786	177.94	undefined	23.146	0.0054967	vapor
300.00	1.6667	0.067395	14.838	12.954	15.427	84.743	12.567	21.164	177.34	1.8005	23.227	0.0055349	vapor
300.00	3.3333	0.13598	7.3541	12.912	15.363	78.838	12.664	21.559	176.73	1.7949	23.310	0.0055760	vapor
300.00	5.0000	0.20581	4.8589	12.869	15.298	75.322	12.762	21.973	176.11	1.7892	23.396	0.0056198	vapor
300.00	6.6667	0.27694	3.6109	12.825	15.232	72.782	12.863	22.407	175.49	1.7834	23.484	0.0056666	vapor
300.00	8.3333	0.34944	2.8617	12.780	15.165	70.776	12.966	22.863	174.86	1.7773	23.576	0.0057163	vapor
300.00	10.000	0.42338	2.3619	12.735	15.097	69.105	13.071	23.342	174.22	1.7710	23.670	0.0057690	vapor
300.00	11.667	0.49883	2.0047	12.688	15.027	67.666	13.179	23.846	173.58	1.7645	23.768	0.0058250	vapor
300.00	13.333	0.57588	1.7365	12.641	14.956	66.394	13.289	24.379	172.93	1.7578	23.869	0.0058842	vapor
300.00	15.000	0.65461	1.5276	12.593	14.884	65.249	13.402	24.941	172.28	1.7507	23.974	0.0059469	vapor
300.00	16.667	0.73511	1.3603	12.544	14.811	64.204	13.518	25.537	171.61	1.7434	24.082	0.0060132	vapor
300.00	18.333	0.81750	1.2232	12.493	14.736	63.237	13.637	26.170	170.94	1.7358	24.195	0.0060833	vapor
300.00	20.000	0.90189	1.1088	12.442	14.659	62.336	13.760	26.842	170.25	1.7278	24.312	0.0061574	vapor
300.00	21.667	0.98840	1.0117	12.389	14.581	61.487	13.887	27.559	169.56	1.7195	24.434	0.0062357	vapor
300.00	23.333	1.0772	0.92836	12.335	14.501	60.682	14.018	28.325	168.86	1.7107	24.561	0.0063184	vapor
300.00	25.000	1.1684	0.85590	12.280	14.420	59.915	14.154	29.145	168.15	1.7016	24.694	0.0064060	vapor
300.00	26.667	1.2621	0.79231	12.223	14.336	59.178	14.295	30.025	167.42	1.6919	24.832	0.0064988	vapor
300.00	28.333	1.3587	0.73602	12.165	14.250	58.468	14.441	30.974	166.69	1.6817	24.977	0.0065973	vapor
300.00	30.000	1.4582	0.68578	12.105	14.162	57.781	14.593	31.999	165.94	1.6710	25.129	0.0067018	vapor
300.00	31.667	1.5609	0.64064	12.043	14.072	57.111	14.751	33.111	165.17	1.6597	25.289	0.0068130	vapor
300.00	33.333	1.6672	0.59982	11.980	13.979	56.457	14.917	34.320	164.39	1.6477	25.456	0.0069317	vapor
300.00	35.000	1.7772	0.56269	11.914	13.883	55.815	15.091	35.642	163.60	1.6350	25.634	0.0070586	vapor
300.00	36.667	1.8913	0.52873	11.846	13.785	55.184	15.273	37.092	162.79	1.6215	25.821	0.0071947	vapor
300.00	38.333	2.0100	0.49751	11.776	13.683	54.559	15.466	38.691	161.95	1.6071	26.020	0.0073412	vapor
300.00	40.000	2.1336	0.46868	11.703	13.577	53.939	15.669	40.463	161.10	1.5918	26.231	0.0074996	vapor
300.00	41.667	2.2628	0.44193	11.627	13.468	53.322	15.884	42.439	160.22	1.5755	26.456	0.0076716	vapor
300.00	43.333	2.3981	0.41700	11.547	13.354	52.704	16.114	44.656	159.32	1.5580	26.698	0.0078593	vapor
300.00	45.000	2.5403	0.39366	11.465	13.236	52.084	16.359	47.163	158.39	1.5392	26.958	0.0080654	vapor
300.00	46.667	2.6902	0.37172	11.378	13.112	51.459	16.622	50.019	157.43	1.5190	27.239	0.0082932	vapor
300.00	48.333	2.8489	0.35101	11.286	12.982	50.826	16.905	53.306	156.44	1.4972	27.544	0.0085469	vapor
300.00	50.000	3.0178	0.33137	11.189	12.846	50.181	17.212	57.127	155.40	1.4736	27.878	0.0088318	vapor
300.00	51.667	3.1985	0.31265	11.086	12.702	49.521	17.546	61.626	154.33	1.4479	28.247	0.0091549	vapor
300.00	53.333	3.3930	0.29473	10.976	12.548	48.841	17.913	67.000	153.20	1.4199	28.656	0.0095254	vapor
300.00	55.000	3.6041	0.27746	10.858	12.384	48.135	18.318	73.529	152.02	1.3890	29.116	0.0099556	vapor
300.00	56.667	3.8353	0.26073	10.729	12.207	47.395	18.768	81.626	150.78	1.3549	29.638	0.010463	vapor
300.00	58.333	4.0917	0.24440	10.588	12.014	46.612	19.274	91.920	149.46	1.3169	30.243	0.011070	vapor
300.00	60.000	4.3801	0.22830	10.432	11.802	45.773	19.847	105.41	148.06	1.2741	30.955	0.011813	vapor
300.00	60.000	4.3801	0.22830	10.432	11.802	45.773	19.847	105.41	148.06	1.2741	30.955	0.011813	supercritical
300.00	60.000	4.3801	0.22830	10.432	11.802	45.773	19.847	105.41	148.06	1.2741	30.955	0.011813	supercritical
300.00	61.667	4.7110	0.21227	10.255	11.564	44.859	20.502	123.75	146.57	1.2251	31.815	0.012743	supercritical
300.00	63.333	5.1001	0.19607	10.051	11.293	43.842	21.256	149.84	144.98	1.1681	32.891	0.013940	supercritical
300.00	65.000	5.5733	0.17943	9.8092	10.976	42.679	22.126	188.83	143.32	1.1004	34.349	0.015542	supercritical
300.00	66.667	6.1724	0.16201	9.5130	10.593	41.310	23.097	248.93	141.72	1.0180	36.326	0.017675	supercritical
300.00	68.333	6.9555	0.14377	9.1438	10.126	39.668	24.032	333.63	140.68	0.91687	39.239	0.020365	supercritical
300.00	70.000	7.9338	0.12604	8.7115	9.5938	37.819	24.490	400.90	141.70	0.80112	43.505	0.022881	supercritical
300.00	71.667	8.9389	0.11187	8.2971	9.0988	36.103	24.056	382.30	146.83	0.68953	48.779	0.024130	supercritical
300.00	73.333	9.7643	0.10241	7.9733	8.7243	34.795	23.119	314.78	155.68	0.59697	53.916	0.024387	supercritical
300.00	75.000	10.380	0.096343	7.7373	8.4598	33.859	22.204	254.27	165.85	0.52510	58.284	0.024381	supercritical
300.00	76.667	10.842	0.092232	7.5608	8.2679	33.166	21.460	211.87	175.77	0.46977	61.906	0.024418	supercritical
300.00	78.333	11.205	0.089247	7.4221	8.1212	32.627	20.874	182.86	184.97	0.42633	64.961	0.024539	supercritical
300.00	80.000	11.501	0.086950	7.3085	8.0041	32.188	20.407	162.35	193.39	0.39131	67.603	0.024720	supercritical
300.00	81.667	11.750	0.085105	7.2121	7.9071	31.817	20.029	147.25	201.09	0.36236	69.938	0.024936	supercritical
300.00	83.333	11.966	0.083572	7.1283	7.8247	31.495	19.717	135.70	208.19	0.33794	72.037	0.025169	supercritical
300.00	85.000	12.156	0.082267	7.0540	7.7533	31.211	19.455	126.59	214.75	0.31695	73.951	0.025409	supercritical
300.00	86.667	12.325	0.081133	6.9872	7.6903	30.956	19.231	119.22	220.86	0.29865	75.716	0.025650	supercritical
300.00	88.333	12.479	0.080132	6.9263	7.6341	30.724	19.039	113.11	226.57	0.28250	77.357	0.025889	supercritical
300.00	90.000	12.620	0.079238	6.8703	7.5835	30.511	18.872	107.97	231.94	0.26810	78.895	0.026123	supercritical
300.00	91.667	12.750	0.078431	6.8184	7.5374	30.313	18.725	103.58	237.01	0.25514	80.344	0.026352	supercritical
300.00	93.333	12.871	0.077696	6.7700	7.4952	30.129	18.595	99.771	241.81	0.24339	81.717	0.026576	supercritical
300.00	95.000	12.983	0.077022	6.7246	7.4563	29.956	18.480	96.436	246.38	0.23267	83.024	0.026794	supercritical
300.00	96.667	13.089	0.076399	6.6817	7.4202	29.794	18.377	93.487	250.73	0.22283	84.272	0.027006	supercritical
300.00	98.333	13.189	0.075820	6.6411	7.3867	29.640	18.284	90.858	254.89	0.21375	85.468	0.027212	supercritical
300.00	100.00	13.284	0.075281	6.6026	7.3554	29.493	18.200	88.496	258.88	0.20533	86.617	0.027413	supercritical
300.00	101.67	13.373	0.074775	6.5659	7.3261	29.354	18.124	86.361	262.71	0.19750	87.725	0.027610	supercritical
300.00	103.33	13.459	0.074300	6.5307	7.2985	29.221	18.055	84.419	266.40	0.19018	88.794	0.027801	supercritical
300.00	105.00	13.541	0.073851	6.4971	7.2725	29.093	17.992	82.645	269.95	0.18332	89.829	0.027988	supercritical
300.00	106.67	13.619	0.073426	6.4647	7.2479	28.970	17.934	81.015	273.38	0.17688	90.832	0.028171	supercritical
300.00	108.33	13.694	0.073023	6.4336	7.2247	28.852	17.881	79.512	276.70	0.17081	91.806	0.028350	supercritical
300.00	110.00	13.767	0.072639	6.4036	7.2026	28.738	17.833	78.120	279.92	0.16507	92.753	0.028525	supercritical
300.00	111.67	13.836	0.072273	6.3746	7.1817	28.628	17.788	76.828	283.04	0.15963	93.674	0.028696	supercritical
300.00	113.33	13.904	0.071924	6.3466	7.1617	28.521	17.746	75.623	286.07	0.15448	94.573	0.028864	supercritical
300.00	115.00	13.969	0.071589	6.3194	7.1427	28.418	17.708	74.497	289.01	0.14957	95.450	0.029028	supercritical
300.00	116.67	14.032	0.071268	6.2931	7.1246	28.318	17.672	73.441	291.88	0.14490	96.307	0.029190	supercritical
300.00	118.33	14.093	0.070959	6.2675	7.1072	28.220	17.639	72.449	294.67	0.14045	97.145	0.029348	supercritical
300.00	120.00	14.152	0.070663	6.2427	7.0906	28.126	17.609	71.515	297.39	0.13619	97.965	0.029504	supercritical
300.00	121.67	14.209	0.070377	6.2185	7.0747	28.034	17.581	70.634	300.05	0.13211	98.769	0.029657	supercritical
300.00	123.33	14.265	0.070101	6.1949	7.0595	27.944	17.554	69.800	302.64	0.12821	99.556	0.029808	supercritical
300.00	125.00	14.319	0.069835	6.1720	7.0449	27.856	17.529	69.010	305.18	0.12446	100.33	0.029956	supercritical
300.00	126.67	14.372	0.069578	6.1496	7.0309	27.771	17.506	68.260	307.66	0.12086	101.09	0.030102	supercritical
300.00	128.33	14.424	0.069329	6.1277	7.0174	27.687	17.485	67.547	310.08	0.11740	101.83	0.030246	supercritical
300.00	130.00	14.474	0.069087	6.1063	7.0044	27.606	17.465	66.868	312.46	0.11406	102.57	0.030388	supercritical
300.00	131.67	14.524	0.068853	6.0854	6.9920	27.526	17.446	66.220	314.79	0.11085	103.29	0.030528	supercritical
300.00	133.33	14.572	0.068626	6.0649	6.9800	27.448	17.429	65.602	317.08	0.10775	104.00	0.030665	supercritical
300.00	135.00	14.619	0.068406	6.0449	6.9684	27.371	17.413	65.010	319.32	0.10476	104.69	0.030801	supercritical
300.00	136.67	14.665	0.068191	6.0253	6.9572	27.296	17.397	64.444	321.52	0.10186	105.38	0.030935	supercritical
