Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	1000.0	20.755	0.048181	3.3950	8.2131	15.969	18.781	36.811	690.23	-0.077003	268.65	0.060779	supercritical
300.00	1010.0	20.786	0.048109	3.3825	8.2415	15.904	18.798	36.773	692.58	-0.077285	270.13	0.061004	supercritical
300.00	1020.0	20.817	0.048037	3.3702	8.2700	15.838	18.816	36.735	694.92	-0.077561	271.62	0.061227	supercritical
300.00	1030.0	20.848	0.047967	3.3580	8.2985	15.773	18.833	36.699	697.24	-0.077832	273.10	0.061449	supercritical
300.00	1040.0	20.878	0.047897	3.3458	8.3271	15.709	18.850	36.663	699.55	-0.078097	274.57	0.061670	supercritical
300.00	1050.0	20.908	0.047828	3.3339	8.3558	15.645	18.867	36.628	701.84	-0.078356	276.05	0.061890	supercritical
300.00	1060.0	20.938	0.047759	3.3220	8.3845	15.581	18.884	36.593	704.12	-0.078610	277.52	0.062109	supercritical
300.00	1070.0	20.968	0.047692	3.3103	8.4133	15.518	18.901	36.559	706.38	-0.078859	278.99	0.062327	supercritical
300.00	1080.0	20.997	0.047625	3.2987	8.4422	15.456	18.917	36.526	708.63	-0.079103	280.46	0.062544	supercritical
300.00	1090.0	21.026	0.047559	3.2872	8.4711	15.393	18.934	36.493	710.87	-0.079342	281.93	0.062760	supercritical
300.00	1100.0	21.055	0.047494	3.2758	8.5001	15.331	18.951	36.461	713.09	-0.079576	283.40	0.062975	supercritical
300.00	1110.0	21.084	0.047429	3.2645	8.5291	15.270	18.967	36.430	715.30	-0.079805	284.86	0.063188	supercritical
300.00	1120.0	21.113	0.047365	3.2533	8.5582	15.209	18.984	36.399	717.50	-0.080030	286.32	0.063401	supercritical
300.00	1130.0	21.141	0.047302	3.2423	8.5874	15.149	19.000	36.369	719.69	-0.080251	287.78	0.063613	supercritical
300.00	1140.0	21.169	0.047239	3.2313	8.6166	15.088	19.017	36.340	721.86	-0.080467	289.24	0.063823	supercritical
300.00	1150.0	21.197	0.047177	3.2205	8.6459	15.029	19.033	36.310	724.02	-0.080679	290.70	0.064033	supercritical
300.00	1160.0	21.224	0.047116	3.2098	8.6752	14.969	19.049	36.282	726.17	-0.080887	292.16	0.064242	supercritical
300.00	1170.0	21.252	0.047055	3.1991	8.7046	14.910	19.065	36.254	728.31	-0.081090	293.61	0.064449	supercritical
300.00	1180.0	21.279	0.046995	3.1886	8.7340	14.851	19.081	36.226	730.44	-0.081290	295.07	0.064656	supercritical
300.00	1190.0	21.306	0.046935	3.1782	8.7635	14.793	19.097	36.199	732.55	-0.081486	296.52	0.064861	supercritical
300.00	1200.0	21.333	0.046876	3.1678	8.7930	14.735	19.113	36.173	734.66	-0.081679	297.97	0.065064	supercritical
300.00	1210.0	21.359	0.046818	3.1576	8.8225	14.678	19.129	36.147	736.75	-0.081867	299.42	0.065268	supercritical
300.00	1220.0	21.386	0.046760	3.1474	8.8522	14.620	19.145	36.121	738.83	-0.082052	300.87	0.065472	supercritical
300.00	1230.0	21.412	0.046703	3.1374	8.8818	14.563	19.161	36.096	740.90	-0.082234	302.31	0.065676	supercritical
300.00	1240.0	21.438	0.046646	3.1274	8.9115	14.507	19.176	36.071	742.96	-0.082412	303.76	0.065879	supercritical
300.00	1250.0	21.464	0.046590	3.1176	8.9413	14.451	19.192	36.047	745.01	-0.082587	305.20	0.066081	supercritical
300.00	1260.0	21.490	0.046534	3.1078	8.9711	14.395	19.207	36.023	747.05	-0.082759	306.65	0.066282	supercritical
300.00	1270.0	21.515	0.046479	3.0981	9.0009	14.339	19.223	36.000	749.08	-0.082928	308.09	0.066483	supercritical
300.00	1280.0	21.540	0.046424	3.0885	9.0308	14.284	19.238	35.977	751.10	-0.083093	309.53	0.066682	supercritical
300.00	1290.0	21.566	0.046370	3.0790	9.0607	14.229	19.254	35.954	753.11	-0.083256	310.97	0.066881	supercritical
300.00	1300.0	21.591	0.046316	3.0695	9.0906	14.174	19.269	35.932	755.11	-0.083415	312.41	0.067079	supercritical
300.00	1310.0	21.615	0.046263	3.0602	9.1206	14.120	19.284	35.910	757.10	-0.083572	313.85	0.067276	supercritical
300.00	1320.0	21.640	0.046210	3.0509	9.1507	14.066	19.299	35.888	759.08	-0.083726	315.28	0.067473	supercritical
